Source,RA,Dec,Distance,T_bol,L_bol,v_sys,Description
L1489IRS,4:04:42.85,+26:18:56.3,146,213,3.4,7.4,
IRAS04166,4:19:42.50,+27:13:36.0,156,61,0.4,6.8,
IRAS04169,4:19:58.45,+27:09:57.1,156,163,1.5,6.8,
IRAS04302,4:33:16.50,+22:53:20.4,160,88,0.43,5.7,
L1527IRS,4:39:53.91,+26:03:09.8,140,41,1.3,6.0,L1527IRS is another Class 0 protostar
Ced110IRS4,11:06:46.44,-77:22:32.2,189,68,1,4.7,
BHR71_IRS2,12:01:34.09,-65:08:47.36,176,39,1.1,-4.5,
BHR71_IRS1,12:01:36.81,-65:08:49.22,176,66,10,-4.5,
IRAS15398,15:43:02.24,-34:09:06.8,155,50,1.4,5.4,
GSS30IRS3,16:26:21.72,-24:22:50.7,138,50,1.7,2.8,
OphIRS43,16:27:26.7,-24:40:52.3,137,193,4.1,3.9,
IRAS16253,16:28:21.6,-24:36:23.4,139,42,0.16,4.0,
OphIRS63,16:31:35.7,-24:01:29.6,132,348,1.3,2.8,
CB68,16:57:19.64,-16:09:23.4,151,50,0.89,5.0,
IRS5N,19:01:48.46,-36:57:14.7,147,59,1.4,6.6,"IRS5N is one of these deeply embedded Class 0 protostars located in the R Coronae Australis (R CrA) region, the most active star formation region in the Corona Australis molecular cloud. It is also referred to as CrA-20. The distance to the protostar is estimated to be 147 pc."
IRS7B,19:01:56.42,-36:57:28.4,152,88,5.1,6.0,
IRAS32,19:02:58.67,-37:07:35.9,150,64,1.6,,
TMC1A ,4:39:35.2,+25:41:44.4,137,183,2.3,6.8,
B335,19:37:00.89,+07:34:10.0,165,41,1.4,8.3,